Voltage,Current,Resistance 
0.00196982045,1e-05,196.982045
0.00394089733,2e-05,197.04486649999998
0.00591306425,3.0000000000000004e-05,197.10214166666663
0.00788569,4e-05,197.14225
0.00985611645,5e-05,197.122329
0.0118280485,6e-05,197.13414166666666
0.0137992108,7.000000000000001e-05,197.13158285714283
0.0157715612,8e-05,197.14451499999998
0.0177435001,9e-05,197.1500011111111
0.0197137755,0.0001,197.13775499999997
0.0216846409,0.00011,197.13309909090907
0.0236563006,0.00012,197.1358383333333
0.0256275103,0.00013000000000000002,197.1346946153846
0.0275997285,0.00014000000000000001,197.14091785714282
0.0295713081,0.00015000000000000001,197.14205399999997
0.031541983,0.00016,197.13739375
0.0335139344,0.00017,197.1407905882353
0.0354852044,0.00018,197.1400244444444
0.0374561349,0.00019,197.13755210526315
0.039427426,0.0002,197.13712999999998
0.0413981777,0.00021,197.1341795238095
0.043370428,0.00022,197.1383090909091
0.0453423284,0.00023,197.14055826086957
0.0473130961,0.00024,197.13790041666667
0.0492857307,0.00025,197.1429228
0.0512560811,0.00026000000000000003,197.13877346153845
0.0532276504,0.00027000000000000006,197.13944592592588
0.0552003368,0.0002800000000000001,197.14405999999994
0.057171485,0.0002900000000000001,197.14305172413785
0.0591434017,0.00030000000000000014,197.14467233333323
0.0611140798,0.00031000000000000016,197.1421929032257
0.0630861732,0.0003200000000000002,197.14429124999987
0.0650572688,0.0003300000000000002,197.14323878787866
0.0670305819,0.00034000000000000024,197.1487702941175
0.0690011361,0.00035000000000000027,197.146103142857
0.0709732544,0.0003600000000000003,197.14792888888874
0.0729458065,0.0003700000000000003,197.1508283783782
0.0749156981,0.00038000000000000035,197.14657394736824
0.0768876198,0.00039000000000000037,197.1477430769229
0.0788579959,0.0004000000000000004,197.1449897499998
0.0808298823,0.0004100000000000004,197.1460543902437
0.0828009983,0.00042000000000000045,197.14523404761883
0.0847727971,0.0004300000000000005,197.14603976744166
0.086743475,0.0004400000000000005,197.14426136363613
0.088716867,0.00045000000000000053,197.1485933333331
0.0906877738,0.00046000000000000056,197.14733434782585
0.0926602656,0.0004700000000000006,197.1495012765955
0.0946331353,0.0004800000000000006,197.1523652083331
0.0966053059,0.0004900000000000006,197.15368551020381
0.0985772072,0.0005000000000000007,197.15441439999975
0.100551582,0.0005100000000000007,197.1599647058821
0.102522132,0.0005200000000000007,197.1579461538459
0.104498111,0.0005300000000000007,197.16624716981104
0.106467854,0.0005400000000000008,197.16269259259232
0.108443504,0.0005500000000000008,197.170007272727
0.110413925,0.0005600000000000008,197.16772321428542
0.112386154,0.0005700000000000008,197.1686912280699
0.114359443,0.0005800000000000009,197.17145344827557
0.11633355,0.0005900000000000009,197.17550847457596
0.118306295,0.0006000000000000009,197.17715833333304
0.120276499,0.000610000000000001,197.17458852458984
0.122247383,0.000620000000000001,197.17319838709648
0.124220319,0.000630000000000001,197.1751095238092
0.126194745,0.000640000000000001,197.1792890624997
0.128167627,0.0006500000000000011,197.1809646153843
0.13014465,0.0006600000000000011,197.18886363636332
0.132118337,0.0006700000000000011,197.1915477611937
0.134090805,0.0006800000000000011,197.19236029411732
0.136065932,0.0006900000000000012,197.19700289855038
0.138037435,0.0007000000000000012,197.1963357142854
0.140011465,0.0007100000000000012,197.1992464788729
0.141979512,0.0007200000000000012,197.19376666666633
0.14395411,0.0007300000000000013,197.19741095890376
0.145925822,0.0007400000000000013,197.19705675675644
0.147897618,0.0007500000000000013,197.19682399999965
0.149872478,0.0007600000000000013,197.20062894736807
0.151846678,0.0007700000000000014,197.20347792207758
0.153819509,0.0007800000000000014,197.20449871794835
0.155790489,0.0007900000000000014,197.20315063291105
0.157764769,0.0008000000000000014,197.20596124999963
0.159740365,0.0008100000000000015,197.21032716049345
0.161710336,0.0008200000000000015,197.20772682926795
0.163683447,0.0008300000000000015,197.20897228915626
0.165657612,0.0008400000000000016,197.21144285714252
0.167631205,0.0008500000000000016,197.2131823529408
0.169603584,0.0008600000000000016,197.2134697674415
0.171575526,0.0008700000000000016,197.2132482758617
0.173551019,0.0008800000000000017,197.21706704545417
0.175528209,0.0008900000000000017,197.22270674157264
0.177501907,0.0009000000000000017,197.22434111111073
0.179476806,0.0009100000000000017,197.22725934065895
0.181453534,0.0009200000000000018,197.23210217391266
0.183419931,0.0009300000000000018,197.22573225806414
0.185400345,0.0009400000000000018,197.2344095744677
0.187373051,0.0009500000000000018,197.2347905263154
0.189347081,0.0009600000000000019,197.23654270833296
0.191321487,0.0009700000000000019,197.2386463917522
0.19329392,0.000980000000000002,197.23869387755065
0.195263614,0.000990000000000002,197.23597373737334
0.197241551,0.001000000000000002,197.2415509999996
0.199216538,0.001010000000000002,197.24409702970257
0.201192525,0.001020000000000002,197.2475735294114
0.203162286,0.001030000000000002,197.2449378640773
0.205139631,0.001040000000000002,197.2496451923073
0.207112863,0.001050000000000002,197.25034571428532
0.209089158,0.0010600000000000021,197.25392264150904
0.211059263,0.0010700000000000022,197.251647663551
0.213035225,0.0010800000000000022,197.25483796296257
0.215009893,0.0010900000000000022,197.25678256880695
0.216984301,0.0011000000000000022,197.25845545454504
0.218955624,0.0011100000000000023,197.25731891891851
0.220930237,0.0011200000000000023,197.25914017857102
0.222904927,0.0011300000000000023,197.26099734513235
0.224881612,0.0011400000000000023,197.26457192982417
0.226858109,0.0011500000000000024,197.26792086956482
0.228833705,0.0011600000000000024,197.27043534482718
0.23080551,0.0011700000000000024,197.26966666666624
0.232771838,0.0011800000000000024,197.26426949152503
0.234745489,0.0011900000000000025,197.2651168067223
